n_nodi,BS,AVL,RB
100,28,42.5,42
111,26,38,39
124,26,42,40
138,31,40,41
155,29,42,40
173,34,51.5,50
193,34,43,43.5
215,31,44,47
240,31,52.5,49
268,41,51.5,52
299,47,55,57
334,61.5,68,68
373,69.5,87.5,87
416,67,85.5,85
464,72,91,91
518,74,94,94.5
578,72.5,98,97
646,73.5,97,98
721,81.5,103.5,101.5
804,79,104.5,105
898,82,112,110
1002,88.5,109,111.5
1118,102.5,131.5,129
1248,89,114,112
1392,92,117,117.5
1554,93.5,117,117
1734,94.5,121,120
1936,94,124.5,121.5
2160,102,121.5,121
2411,100,126.5,122.5
2691,106,127.5,126
3003,103,130,128
3351,108,135,130.5
3740,110,136.5,132.5
4174,115.5,141.5,138.5
4658,112.5,141,140.5
5198,122,142.5,145
5801,122,148,147
6474,127,153.5,149.5
7226,130,156,157.5
8064,127.5,159,155.5
8999,134,155.5,157
10043,134.5,166,157
11208,141,171.5,171.5
12509,154,174.5,189.5
13960,160.5,177.5,180
15579,155.5,193,186
17386,160,189,189
19403,170,200.5,199
21654,164.5,201.5,205
24166,187.5,216,210.5
26969,187,223,219
30098,204.5,231,229
33589,201.5,230,229
37485,204,237.5,232
41834,203,241,238
46686,216.5,247.5,248.5
52102,230.5,252.5,256.5
58146,223.5,263,258
64891,241,282,274.5
72418,254,288,284.5
80819,258.5,296,290
90194,274.5,312,301
100657,251,290,280.5
112333,260.5,299,286.5
125363,267,296,292
139906,273,304,297
156135,269,299.5,290.5
174246,306,339.5,326.5
194459,326.5,363.5,354
217016,341,373,357
242190,367,396.5,388.5
270285,356,391.5,384
301638,347,379.5,368.5
336628,363,398.5,393.5
375676,387.5,426,416.5
419255,416.5,448,437.5
467889,349,385,376.5
522164,359,392,385
582735,353.5,400,398.5
650332,417.5,462.5,446.5
725771,446.5,488,475.5
809960,493.5,549.5,505.5
903916,489.5,544.5,523
1008770,498.5,558,532
1125787,506,603.5,580
1256379,541.5,591,566.5
1402119,527.5,582,562
1564765,479,535,530
1746277,515.5,565.5,575.5
1948845,500.5,557,560.5
2174912,511,589,581
2427201,537.5,589.5,584.5
2708757,546,597.5,599.5
3022973,565,620,618.5
3373638,574.5,642,633
3764980,603,658,651
4201717,618.5,670,672
4689117,622.5,690,693.5
5233054,623.5,709,713.5
